id,theme_name,definition
1,Physical harassment,"An incident or a series of incidents that aim to physically harass Asians/Asian Americans in order to intimidate, offend or harm them. Examples of physical harassment include using body languages/gestures to harass/threaten, pushing/shoving, slapping, spitting, pepper-spraying or using spraying can, coughing on, blocking someone from entering a building, harassing a restaurant by making an order but not taking, or following/stalking someone. These behaviors do not cause injuries or death, but already make Asians/Asian Americans feel intimidated, offended, and anxious."
2,Worry about safety,"Asians/Asian Americans worried about their safety because they were discriminated, attacked, harassed, or injured or their properties (e.g., restaurants, cars, or houses) be vandalized or destroyed during the COVID-19 pandemic. In addition to direct experiences, seeing the above incidents can also lead to their worries about safety."
3,Proactive self-defense/protection,"After seeing other Asians/Asian Americans be  started protecting themselves discriminated, attacked, harassed, or injured or their properties (e.g., restaurants, cars, or houses) be vandalized or destroyed during the COVID-19 pandemic, they start proactively protecting themselves or preventing themselves from being attacked. Examples include installing a surveillance video system, buying guns/firearms and carrying concealed guns, going or running fast when going home, guarding their houses/homes, hiring private armed security guards, providing shopkeepers with air horns, and buying pepper sprays. "
4,Other minorities (Black) attack AA,"Black/Brown adults and teenagers conduct Anti-Asian violence, assaults, and attacks. The behaviors vary from knocking down someone, hitting, to killing, which can cause injuries and even death. "
5,Verbal harassment,"Asians/Asian Americans experienced verbal harassment/abuse in oral (e.g., in person or via phone) or written forms (e.g., graffiti and written messages/notes). One type is racist slurs/epithets or derogatory/stereotype names, such as scum bucket China boy, commie, stupid, ching chong, retard chinaman, nuke china, or using dirty words (e.g., fuck, f…ing[articles removed some letters in fucking]). The second type is hate speech/Anti-Asian rhetoric, such as blaming Asians/Asian Americans for causing the pandemic (problem/covid), telling them to go back to China, home, or where you came from or get out of my country, using threatening words (e.g., I’ll kill you or hope you die), or provocative languages (e.g., asking if you carry COVID-19). The third type is using Asian-related objects to combine with disease (virus/flu/covid) or directly calling coronavirus/covid (e.g., country’s or region’s names, Asian food, Kung flu[modified by Kung Fu], or races) to verbally harass Asians/Asian Americans, such as  “China/Chinese virus” or “Kung flu/plague” or “Wuhan virus/plague” or “Diseased Chinese” or “Asian Virus” or “Ramen Noodle flu.”"
6,Online harassment,"Asians/Asian Americans experienced online harassment/abuse/bullying via email or social media (e.g., facebook, twitter, and instagram). The types are similar as those in verbal harassment. One type is racist slurs/epithets or derogatory/stereotype names, such as scum bucket China boy, commie, stupid, ching chong, retard chinaman, nuke china, or using dirty words (e.g., fuck, f…ing[articles removed some letters in fucking]). The second type is hate speech/Anti-Asian rhetoric, such as blaming Asians/Asian Americans for causing the pandemic (problem/covid), telling them to go back to China, home, or where you came from or get out of my country, using threatening words (e.g., I’ll kill you or hope you die), or provocative languages (e.g., asking if you carry COVID-19). The third type is using Asian-related objects to combine with disease (virus/flu/covid) or directly calling coronavirus/covid (e.g., country’s or region’s names, Asian food, Kung flu[modified by Kung Fu], or races) to verbally harass Asians/Asian Americans, such as  “China/Chinese virus” or “Kung flu/plague” or “Wuhan virus/plague” or “Diseased Chinese” or “Asian Virus” or “Ramen Noodle flu.”  Hashtags are used in Twitter, such as #gobacktochina and"
7,Racial/Anti-Asian bigotry,#makethecommiechinesepay.
8,Not confronting  attacker/harasser or not reporting,"Unreasonable attachment to a belief, opinion, or faction, which is a form of prejudice against Asians/Asian Americans."
9,Videotaping/confronting harasser/attacker,Asians/Asian Americans did not want to confront attackers/harassers/bullies who physically or verbally harassed or attacked them. They thought it is not worthy of reporting the incidents. They did not want to confront because they were afraid of their safety. They just wanted to leave from the incidents soon.
10,Support Asian Americans,"Asians/Asian Americans or bystanders videotaped/recorded the incidents of physical or verbal harassment; Anti-Asian attacks, assaults, or violence; and Anti-Asian crimes. Asians/Asian Americans who suffered physical harassment, attacks, assaults, violence attacked back to the harassers or attackers. Bystanders’ behaviors aim to defense those who were attacked. Cell phones and survelliance system can be used for videotaping or recording. Additionally, those who experienced verbal harassment speak out to the harassers to let them know their thoughts were biased, offensive, and unjust and tell them to stop. "
11,"Reasons behind not reporting (language/cultural barriers, distrust of police, fear of keeping immigrant status, hard to approve)","Asians/Asian Americans condemned/do not want Anti-Asian incidents to happen, including all forms of crimes, attacks, violence, assaults, physical, verbal, and online harassment. They called for standing against and fighting with Anti-Asian hate and taking actions to stop it. Victims and all Asian Americans are encouraged to speak up in public, such as via social media, to condemn Anti-Asian hate. Indeed, some Asian Americans (including celebrities, such as Jeremy Lin) or other racial groups actively spoke up on social media and attended marches/rallies for supporting Asian American communities. Some governors (e.g., city mayors) also went to Asian American communities (e.g., Asian restaurants or China Town) to express their support. It’s also encouraged to use media to cover anti-Asian violence to help bring awareness. Another form of support is to encourage the reporting of hate incidents. Some cities install hotlines for victims or people who witness Anti-Asian incidents to report. The third form of support is to directly provide support and resources for Asians and Asian Americans to decrease or minimize Anti-Asian incidents, such as hiring private armed security guards and providing shopkeepers with air horns. The fourth form of support is via education. Schoolteachers and university faculty promoted inclusion of Asians/Asian Americans, fostered"
12,Mistrust police/law enforcement,"conversations regarding the Anti-Asian hate issues, and educating students on current social and political issues on Anti-Asian hate. Asian American communities also think it’s important to address the root cause behind the Anti-Asian hate incidents so this will help us to make change. The fifth form of support is that Asians/Asian Americans become united to support each other to overcome Anti-Asian hate."
13,Useless law enforcement(police)/lack of law enforcement cooperation,"Some Asian Americans did not report hate crimes against Asian Americans because of language/cultural barriers, distrust of police, fear of keeping immigrant status, and difficulty in approving those crimes.  "
14,Government takes actions to stop AAPI hate,"Asians/Asian Americans did not trust police would save/protect them from being physically or verbally harassed, attacked, assaulted, or experiencing violence and Anti-Asian crimes."
15,Hoping or advocacy for change (in the large society; in educational systems),"Police did not take a police report and denied there was an Anti-Asian hate crime for the incidents of physical harassment, attacks, assaults, violence, and Anti-Asian crimes. Another situation is that police affirmed there was a crime, but the motivation did not come from Anti-Asian hate or bigotry/prejudice or racism. Additionally, Asian Americans thought if police often patrolled the streets, a lot of Anti-Asian hate crimes, attacks, assaults, and violence would not happen. But in reality, policy did not do so. "
16,Feeling hopeless or support for AAPI being not enough,"After the incidents of Anti-Asian hate crimes, attacks, assaults, and violence, state or city government take actions, including "
17,Anti-Asian hate crimes,"launching the Asian Hate Crime Task Force, announcing opposing violence against the AAPI community, increasing patrols in neighborhoods, organizing a town hall to address concerns about anti-Asian hate crimes, using legislation to expand criminal background checks on firearms, and mandating the collection and reporting of hate crimes by law enforcement."
18,Ignoring Anti-Asian Hate Crime,"Asians/Asian Americans want or advocate for changing the current situation where Asians/Asian Americans suffered from Anti-Asian hate, including physical, verbal, and online harassment, attacks, violence, assaults, and hate crimes. They want cultural shift, open dialogue and listening sessions regarding incidents, practical change in racial stereotypes"
19,Recidivism,"and perceptions, more awareness about Anti-Asian hate, and human rights. It’s also important to"
20,Anti-Asian violence/ assaults/attacks ,keep telling the stories of the injustices the Asian
